X.1,Systemwide,San Francisco,Redwood City,Palo Alto,Mountain View,San Jose
4/1/2014,169128,152296,902,1996,3499,10435
4/2/2014,170115,153182,905,2004,3533,10491
4/3/2014,171112,154092,906,2010,3562,10542
4/4/2014,171956,154862,910,2012,3579,10593
4/5/2014,172473,155338,912,2017,3588,10618
4/6/2014,172851,155665,916,2027,3595,10648
4/7/2014,173973,156686,918,2036,3641,10692
4/8/2014,175241,157848,921,2047,3672,10753
4/9/2014,176360,158852,927,2061,3704,10816
4/10/2014,177393,159774,927,2066,3745,10881
4/11/2014,178406,160658,936,2081,3775,10956
4/12/2014,178869,161074,939,2082,3785,10989
4/13/2014,179281,161426,939,2095,3812,11009
4/14/2014,180327,162360,942,2103,3850,11072
4/15/2014,181490,163382,946,2119,3889,11154
4/16/2014,182713,164480,948,2142,3926,11217
4/17/2014,183858,165517,952,2152,3956,11281
4/18/2014,184846,166389,958,2163,3981,11355
4/19/2014,185267,166756,960,2170,3987,11394
4/20/2014,185643,167068,965,2189,4001,11420
4/21/2014,186692,167994,975,2199,4037,11487
4/22/2014,187758,168958,980,2211,4067,11542
4/23/2014,188847,169933,985,2220,4095,11614
4/24/2014,189865,170829,987,2229,4133,11687
4/25/2014,190464,171375,989,2231,4156,11713
4/26/2014,190847,171708,991,2241,4166,11741
4/27/2014,191201,172005,995,2249,4192,11760
4/28/2014,192378,173048,1000,2257,4231,11842
4/29/2014,193605,174162,1004,2268,4265,11906
4/30/2014,194827,175252,1005,2284,4307,11979
5/1/2014,196012,176299,1007,2294,4346,12066
5/2/2014,197049,177214,1009,2307,4368,12151
5/3/2014,197436,177514,1015,2321,4387,12199
5/4/2014,197853,177872,1017,2323,4394,12247
5/5/2014,199009,178896,1021,2335,4440,12317
5/6/2014,200138,179899,1025,2354,4465,12395
5/7/2014,201311,180916,1029,2371,4502,12493
5/8/2014,202363,181815,1033,2379,4537,12599
5/9/2014,203409,182743,1040,2393,4563,12670
5/10/2014,203846,183127,1043,2406,4578,12692
5/11/2014,204182,183412,1045,2418,4588,12719
5/12/2014,205362,184477,1047,2425,4622,12791
5/13/2014,206597,185576,1050,2438,4670,12863
5/14/2014,207779,186648,1052,2450,4697,12932
5/15/2014,208986,187729,1063,2457,4729,13008
5/16/2014,210128,188760,1068,2469,4755,13076
5/17/2014,210613,189165,1074,2479,4769,13126
5/18/2014,211031,189529,1074,2491,4775,13162
5/19/2014,212142,190513,1083,2501,4815,13230
5/20/2014,213265,191515,1088,2507,4854,13301
5/21/2014,214368,192500,1092,2515,4883,13378
5/22/2014,215584,193593,1099,2525,4927,13440
5/23/2014,216676,194576,1102,2534,4956,13508
5/24/2014,217108,194923,1103,2540,4971,13571
5/25/2014,217665,195394,1104,2554,4994,13619
5/26/2014,218115,195790,1104,2560,5001,13660
5/27/2014,219319,196876,1110,2566,5048,13719
5/28/2014,220597,198007,1113,2585,5094,13798
5/29/2014,221806,199063,1118,2607,5133,13885
5/30/2014,222880,200019,1124,2617,5160,13960
5/31/2014,223329,200386,1127,2631,5181,14004
6/1/2014,223797,200763,1128,2643,5200,14063
6/2/2014,225088,201904,1129,2655,5244,14156
6/3/2014,226412,203086,1131,2664,5293,14238
6/4/2014,227710,204237,1133,2673,5346,14321
6/5/2014,228929,205313,1136,2688,5391,14401
6/6/2014,230090,206351,1138,2699,5419,14483
6/7/2014,230527,206725,1140,2701,5430,14531
6/8/2014,231025,207155,1140,2715,5437,14578
6/9/2014,232319,208306,1143,2734,5477,14659
6/10/2014,233575,209412,1148,2743,5524,14748
6/11/2014,234855,210554,1153,2753,5569,14826
6/12/2014,236030,211592,1155,2768,5610,14905
6/13/2014,237193,212639,1157,2781,5642,14974
6/14/2014,237633,213011,1159,2788,5658,15017
6/15/2014,238023,213349,1161,2794,5671,15048
6/16/2014,239292,214480,1165,2808,5722,15117
6/17/2014,240508,215560,1167,2819,5771,15191
6/18/2014,241767,216691,1172,2828,5820,15256
6/19/2014,243004,217807,1176,2836,5851,15334
6/20/2014,244155,218826,1182,2847,5882,15418
6/21/2014,244516,219120,1184,2867,5899,15446
6/22/2014,244976,219469,1186,2887,5916,15518
6/23/2014,246164,220533,1189,2896,5958,15588
6/24/2014,247498,221702,1192,2907,6004,15693
6/25/2014,248723,222783,1197,2920,6043,15780
6/26/2014,250017,223950,1200,2925,6080,15862
6/27/2014,251154,224977,1204,2939,6108,15926
6/28/2014,251649,225421,1205,2954,6117,15952
6/29/2014,252063,225764,1206,2964,6135,15994
6/30/2014,253309,226882,1208,2970,6179,16070
